oily [119,150]   [25,56]    [160,248]
[144  36 206]
[150  33 237]
[135  44 195]
[139  38 199]
[132  44 227]
[129  42 242]
[138  25 239]
[142  31 225]
[119  54 231]
[122  43 222]
[130  28 216]
[127  57 225]
[138  40 203]
[140  37 160]
[141  45 192]
[137  56 174]
[136  47 240]
[143  39 229]
[142  39 247]
[138  43 214]
[133  37 248]
[130  41 225]
[141  47 153]
[134  48 192]
[136  45 211]
[138  42 218]
[129  50 195]
shadow [114,157]   [1,60]  [158,255]
[126  40 250]
[129  36 241]
[126  45 222]
[127  56 229]
[132  42 238]
[138  23 255]
[129  41 251]
[125  44 242]
[125  37 208]
[153  34 207]
[135  43 244]
[124  60 220]
[124  53 233]
[133  24 255]
[128  45 226]
[134  53 158]
[133  44 244]
[126  38 249]
[126  49 224]
[121  35 225]
[114  25 255]
[126  63 204]
[125  66 170]
[136  53 179]
[134  45 213]
[137  38 235]
[152  41 204]
[137  50 195]
[142  37 242]
[146   7 255]
[150   1 255]
[117  77 234]
[157  43 138]
[155  39 185]
[133  35 102]
[134  20 255]
[136  29 230]
[149  23 225]
[134  21 226]
[130  39 209]
[146  45 193]
[146  43 201]
[150  28 255]
[148  34 230]
[150  33 239]
hole
[126  61 164]
[123  38 246]
[148  41 232]
[136  49 218]
[136  47 239]
[142  42 232]
[165   2 254]
[128  44 230]
[113  61 225]
[159  45 119]
[150   3 255]
[162  40 140]
[157  37 157]
[128  47 230]
[150   7 255]
[137  47 189]
[140  43 213]
[134  31 230]
[132  49 220]
[145  34 251]
[141  54 175]
[157  30 245]
[152  45 186]
[150  39 204]
